metodo,eje,grupo,cobertura,se_cluster,desvio_pp,ancho_medio,pct_infinito,n,n_dias
M2 Mondrian por tecnologia,evento,alto (decil sup.),91.73,0.62,1.73,918.2,0.0,30831,254
M2 Mondrian por tecnologia,evento,resto,92.68,0.47,2.68,476.6,0.0,47037,384
M2 Mondrian por region,tecnologia,Eólica,94.05,0.37,4.05,455.7,0.0,33093,638
M2 Mondrian por region,tecnologia,Solar,90.72,0.47,0.72,700.4,0.0,44775,638
M2 Mondrian por region,tamano de central,pequena,93.67,0.35,3.67,226.5,0.0,25348,638
M2 Mondrian por region,tamano de central,mediana,93.12,0.42,3.12,648.6,0.0,25273,638
M2 Mondrian por region,tamano de central,grande,89.76,0.49,-0.24,892.2,0.0,27247,638
M2 Mondrian por region,region,Antofagasta,91.03,0.52,1.03,748.2,0.0,26926,638
M2 Mondrian por region,region,Arica y Parinacota,97.18,0.66,7.18,1695.1,0.0,638,638
M2 Mondrian por region,region,Atacama,89.69,0.54,-0.31,770.3,0.0,15755,638
M2 Mondrian por region,region,Biobío,93.03,0.55,3.03,227.0,0.0,6380,638
M2 Mondrian por region,region,Coquimbo,94.38,0.52,4.38,429.0,0.0,9192,638
M2 Mondrian por region,region,La Araucanía,94.67,0.58,4.67,490.3,0.0,5104,638
M2 Mondrian por region,region,Libertador General Bernardo O'Higgins,94.59,0.69,4.59,90.5,0.0,2356,638
M2 Mondrian por region,region,Los Lagos,95.92,0.61,5.92,281.3,0.0,2552,638
M2 Mondrian por region,region,Maule,93.5,0.79,3.5,308.0,0.0,1178,638
M2 Mondrian por region,region,Metropolitana de Santiago,96.85,0.44,6.85,477.2,0.0,2484,638
M2 Mondrian por region,region,Tarapacá,89.31,0.68,-0.69,357.2,0.0,3852,638
M2 Mondrian por region,region,Valparaíso,97.15,0.46,7.15,915.9,0.0,1451,638
M2 Mondrian por region,evento,alto (decil sup.),91.51,0.63,1.51,845.8,0.0,30831,254
M2 Mondrian por region,evento,resto,92.53,0.49,2.53,433.0,0.0,47037,384
