mes,media_log_cruda,media_log_desestacionalizada
2022-01-01,2.7588379347253142,-1.489816507141731
2022-02-01,2.9283094386199178,-1.0038602186653525
2022-03-01,2.7040540334234002,-1.300995948079387
2022-04-01,2.7450613881144768,-0.7021362239466611
2022-05-01,2.2288463439661705,-0.8164011939454077
2022-06-01,1.2806201433431414,-1.3665233429223698
2022-07-01,2.901451910955878,-0.22265271140845444
2022-08-01,3.015839767652729,-0.5822339621117121
2022-09-01,2.9761554956541687,-0.8564208876939445
2022-10-01,3.628390773930453,-0.44148227661164485
2022-11-01,3.2979925316055487,-0.8516729928728362
2022-12-01,3.2168054649128153,-1.1678372008894118
2023-01-01,3.207674278334562,-1.0409801635324833
2023-02-01,2.7848673087902456,-1.1473023484950247
2023-03-01,2.75385419810101,-1.2511957834017773
2023-04-01,2.957016361155479,-0.49018125090565867
2023-05-01,3.1708340836968483,0.12558654578527007
2023-06-01,2.659749951216622,0.01260646495111084
2023-07-01,2.4964274090877243,-0.6276772132766082
2023-08-01,3.288023272906882,-0.3100504568575593
2023-09-01,3.375531247403429,-0.4570451359446843
2023-10-01,3.5104784634538473,-0.5593945870882506
2023-11-01,3.7984043429788095,-0.3512611814995754
2023-12-01,4.26113363656438,-0.12350902923784712
2024-01-01,4.28486196817768,0.036207526310634286
2024-02-01,4.189961907652803,0.2577922503675327
2024-03-01,4.182757002236233,0.1777070207334459
2024-04-01,3.887484668332734,0.44028705627159637
2024-05-01,3.3701860584808596,0.3249385205692814
2024-06-01,2.634537021314401,-0.012606464951110397
2024-07-01,3.3467573337727874,0.22265271140845488
2024-08-01,3.9321906389203187,0.33411690915587755
2024-09-01,4.429539469641407,0.5969630862932935
2024-10-01,4.631157483201928,0.5612844326598303
2024-11-01,4.866830881311487,0.7171653568331022
2024-12-01,4.508151695040073,0.12350902923784624
2025-01-01,4.248654441867045,0.0
2025-02-01,3.9321696572852702,0.0
2025-03-01,4.313002353635162,0.3079523721323749
2025-04-01,3.447197612061138,0.0
2025-05-01,3.045247537911578,0.0
2025-06-01,3.7242049876379664,1.0770615013724552
2025-07-01,3.469222637203358,0.3451180148390254
2025-08-01,3.9081241866220005,0.3100504568575593
2025-09-01,4.289621519292798,0.4570451359446843
2025-10-01,4.511355327153742,0.4414822766116444
2025-11-01,4.500926705977961,0.3512611814995763
2025-12-01,4.565782148430333,0.1811394826281063
2026-01-01,4.495691277935188,0.2470368360681423
2026-02-01,4.317318257084879,0.3851485997996087
2026-03-01,4.005049981502787,0.0
2026-04-01,3.632100808235843,0.1849031961747052
2026-05-01,2.773676227091926,-0.271571310819652
