mes,media_log_cruda,media_log_desestacionalizada
2022-01-01,2.505222880796285,-2.266499696404862
2022-02-01,2.9352328813233695,-1.6004248654541917
2022-03-01,2.636627535764135,-1.9600149750929754
2022-04-01,2.5941494685648094,-1.5692497798702019
2022-05-01,2.214563154838115,-1.2310334682987372
2022-06-01,1.8334599267527327,-0.9734170837635299
2022-07-01,3.068781797527958,-0.244978020233936
2022-08-01,2.8830374079390473,-1.3245510634788649
2022-09-01,2.7672240927023735,-1.7490922048913422
2022-10-01,3.421001185238923,-1.2555874265768137
2022-11-01,3.0517517849713975,-1.6812870310559775
2022-12-01,3.251016545577939,-1.624943471958102
2023-01-01,3.440777840547515,-1.330944736653632
2023-02-01,3.0153391537279934,-1.5203185930495677
2023-03-01,2.785683960906109,-1.8109585499510015
2023-04-01,2.9869492727663123,-1.176449975668699
2023-05-01,3.445596623136852,0.0
2023-06-01,2.779825935607047,-0.027051074909215433
2023-07-01,2.519589685648565,-0.794170132113329
2023-08-01,3.856182755934482,-0.35140571548343
2023-09-01,4.052893188728651,-0.4634231088650651
2023-10-01,4.017291883734174,-0.6592967280815625
2023-11-01,4.135402577886376,-0.597636238140999
2023-12-01,4.499742516052635,-0.3762175014834064
2024-01-01,4.771722577201147,0.0
2024-02-01,4.679313152140709,0.14365540536314825
2024-03-01,4.804809458811039,0.2081669479539281
2024-04-01,4.4109893829999125,0.2475901345649012
2024-05-01,3.517490113680394,0.071893490543542
2024-06-01,2.8339280854254776,0.02705107490921499
2024-07-01,3.55873783799583,0.244978020233936
2024-08-01,4.558994186901342,0.3514057154834296
2024-09-01,5.119178603191868,0.6028623055981521
2024-10-01,5.463365154235459,0.7867765424197222
2024-11-01,5.56802001820232,0.8349812021749452
2024-12-01,5.252177519019447,0.3762175014834055
2025-01-01,5.044957228104596,0.2732346509034489
2025-02-01,4.535657746777561,0.0
2025-03-01,5.1135437511161514,0.5169012402590409
2025-04-01,4.2959346028656675,0.13253535443065623
2025-05-01,3.4862245663751152,0.04062794323826324
2025-06-01,4.031521563535297,1.2246445530190346
2025-07-01,3.8812643797430253,0.5675045619811314
2025-08-01,4.754676322341163,0.5470878509232513
2025-09-01,4.979739406458781,0.4634231088650651
2025-10-01,5.335885339897298,0.6592967280815616
2025-11-01,5.330675054168374,0.597636238140999
2025-12-01,5.394687800122062,0.518727782586021
2026-01-01,5.333381630634677,0.5616590534335302
2026-02-01,4.950664554395117,0.41500680761755593
2026-03-01,4.5966425108571105,0.0
2026-04-01,4.163399248435011,0.0
2026-05-01,3.289208714348128,-0.15638790878872388
