mes,p_ocurrencia
2022-01-01,0.6629881154499151
2022-02-01,0.6428571428571429
2022-03-01,0.5772495755517827
2022-04-01,0.5622807017543859
2022-05-01,0.3539898132427844
2022-06-01,0.10087719298245613
2022-07-01,0.5033955857385399
2022-08-01,0.4661290322580645
2022-09-01,0.6801292407108239
2022-10-01,0.7761425251742835
2022-11-01,0.7166666666666667
2022-12-01,0.7503840245775729
2023-01-01,0.7188940092165899
2023-02-01,0.8299319727891157
2023-03-01,0.7910906298003072
2023-04-01,0.718939393939394
2023-05-01,0.8057184750733137
2023-06-01,0.5492424242424242
2023-07-01,0.6900420757363254
2023-08-01,0.8309957924263675
2023-09-01,0.9239130434782609
2023-10-01,0.8099579242636746
2023-11-01,0.7652173913043478
2023-12-01,0.8520336605890603
2024-01-01,0.8682223747426219
2024-02-01,0.7966954022988506
2024-03-01,0.8770161290322581
2024-04-01,0.7945578231292517
2024-05-01,0.7544437129690585
2024-06-01,0.7197278911564626
2024-07-01,0.7129032258064516
2024-08-01,0.7490322580645161
2024-09-01,0.7833333333333333
2024-10-01,0.7974193548387096
2024-11-01,0.834
2024-12-01,0.8141935483870968
2025-01-01,0.8431372549019608
2025-02-01,0.8298319327731093
2025-03-01,0.8121442125237192
2025-04-01,0.7823899371069183
2025-05-01,0.63542300669507
2025-06-01,0.8018867924528302
2025-07-01,0.7888009738283628
2025-08-01,0.776019476567255
2025-09-01,0.779245283018868
2025-10-01,0.7157638466220329
2025-11-01,0.7559748427672957
2025-12-01,0.7790626902008521
2026-01-01,0.7961046865489957
2026-02-01,0.7789757412398922
2026-03-01,0.7577601947656726
2026-04-01,0.7345911949685534
2026-05-01,0.6879765395894428
