mes,p_ocurrencia
2022-01-01,0.6001500375093773
2022-02-01,0.5681063122923588
2022-03-01,0.532258064516129
2022-04-01,0.4910852713178295
2022-05-01,0.3304576144036009
2022-06-01,0.08255813953488372
2022-07-01,0.4309827456864216
2022-08-01,0.4063066328379848
2022-09-01,0.6761447562776958
2022-10-01,0.8110320284697509
2022-11-01,0.8010989010989011
2022-12-01,0.7791563275434243
2023-01-01,0.7355547678128324
2023-02-01,0.8108320251177394
2023-03-01,0.7454803261254874
2023-04-01,0.6443298969072165
2023-05-01,0.6933821084137014
2023-06-01,0.5309278350515464
2023-07-01,0.672309166400511
2023-08-01,0.7975087831363782
2023-09-01,0.8782178217821782
2023-10-01,0.8070841239721696
2023-11-01,0.8026143790849674
2023-12-01,0.8719165085388995
2024-01-01,0.8669738863287251
2024-02-01,0.7745849297573435
2024-03-01,0.8924731182795699
2024-04-01,0.7837920489296636
2024-05-01,0.6167505179047056
2024-06-01,0.755045871559633
2024-07-01,0.7606566820276498
2024-08-01,0.7713388524122181
2024-09-01,0.8174041297935103
2024-10-01,0.8446519524617997
2024-11-01,0.871304347826087
2024-12-01,0.8343357025697102
2025-01-01,0.847926267281106
2025-02-01,0.787515006002401
2025-03-01,0.7400379506641366
2025-04-01,0.6978142076502732
2025-05-01,0.5732416710735061
2025-06-01,0.6234972677595628
2025-07-01,0.6850249147652767
2025-08-01,0.7873548387096774
2025-09-01,0.8178666666666666
2025-10-01,0.7948387096774193
2025-11-01,0.8018666666666666
2025-12-01,0.7892985151049667
2026-01-01,0.8233486943164362
2026-02-01,0.8177437641723356
2026-03-01,0.7580645161290323
2026-04-01,0.7513227513227513
2026-05-01,0.6688007879832554
