modelo_base,metodo,periodo,d_ancho,ancho_lo,ancho_hi,d_cobertura_pp,cob_lo,cob_hi,d_IS,IS_lo,IS_hi,n_filas_IS_finitas,n_filas
hurdle_sigma_x,2_ventana60d_pit,2025-S1,-2.0,-10.2,6.6,-0.17,-0.49,0.15,9.2,1.6,18.2,21784,21784
hurdle_sigma_x,2_ventana60d_pit,2025-S2,-65.3,-95.9,-33.9,-1.46,-2.11,-0.77,35.4,7.4,62.5,22941,22941
hurdle_sigma_x,2_ventana60d_pit,2026-S1,16.1,8.2,23.3,0.4,0.19,0.62,3.8,-2.1,9.8,19146,19146
qgbm_multi,4_transporte_banda_g05,test_pre,3.9,1.5,6.2,0.44,0.12,0.8,-5.0,-10.2,-0.3,3390,3390
qgbm_multi,4_transporte_banda_g05,test_transition,15.1,0.0,30.3,-0.15,-1.3,0.99,13.9,-10.7,37.8,10607,10607
qgbm_multi,4_transporte_banda_g05,2025-S1,23.7,10.5,38.0,-0.19,-1.36,0.97,33.7,13.2,54.9,20582,21784
qgbm_multi,4_transporte_banda_g05,2025-S2,-0.9,-12.9,12.6,-0.33,-1.06,0.44,41.7,26.2,57.4,20734,22941
qgbm_multi,4_transporte_banda_g05,2026-S1,15.8,8.2,24.1,0.36,-0.24,0.94,11.0,-1.0,24.0,19146,19146
qgbm_multi,4_transporte_banda_g02,test_pre,4.7,3.2,6.2,0.53,0.24,0.86,-5.5,-10.2,-1.6,3390,3390
qgbm_multi,4_transporte_banda_g02,test_transition,9.8,2.2,17.7,-0.26,-0.97,0.45,16.7,0.3,32.7,10607,10607
qgbm_multi,4_transporte_banda_g02,2025-S1,9.6,4.2,15.5,-0.34,-1.13,0.46,16.8,3.2,30.8,21784,21784
qgbm_multi,4_transporte_banda_g02,2025-S2,17.4,5.2,30.2,-0.0,-0.7,0.75,35.9,24.3,47.6,22941,22941
qgbm_multi,4_transporte_banda_g02,2026-S1,7.5,4.3,10.8,0.37,0.04,0.69,4.1,-1.9,10.3,19146,19146
qgbm_multi,3_aci_pit_g05,test_pre,0.9,-1.0,2.8,0.21,-0.0,0.5,-0.8,-4.1,2.1,3390,3390
qgbm_multi,3_aci_pit_g05,test_transition,1.7,-6.1,9.4,-0.02,-0.71,0.61,-0.7,-15.1,14.1,10607,10607
qgbm_multi,3_aci_pit_g05,2025-S1,8.1,1.2,15.5,-0.06,-0.79,0.73,14.8,2.0,27.0,21418,21784
qgbm_multi,3_aci_pit_g05,2025-S2,-3.5,-11.3,5.8,-0.09,-0.67,0.51,28.9,20.8,37.4,21103,22941
qgbm_multi,3_aci_pit_g05,2026-S1,4.1,-0.5,9.0,-0.04,-0.46,0.39,9.9,1.3,18.6,19146,19146
qgbm_multi,2_ventana60d_pit,test_pre,5.7,4.9,6.5,0.68,0.38,1.0,-5.9,-10.6,-2.1,3390,3390
qgbm_multi,2_ventana60d_pit,test_transition,-1.0,-4.7,2.9,-0.56,-0.97,-0.15,21.4,10.8,34.0,10607,10607
qgbm_multi,2_ventana60d_pit,2025-S1,-0.8,-3.8,2.2,-0.82,-1.29,-0.32,15.6,6.9,25.1,21784,21784
qgbm_multi,2_ventana60d_pit,2025-S2,1.0,-4.1,6.0,0.14,-0.36,0.64,9.4,1.6,16.6,22941,22941
qgbm_multi,2_ventana60d_pit,2026-S1,-1.0,-2.8,0.6,-0.19,-0.42,0.01,6.8,3.2,10.6,19146,19146
