modelo_base,metodo,periodo,cobertura,se_cluster,ancho_medio,ancho_mediano,pct_infinito,IS_finitos,IS_total,n_dias,n,crps_base,brier_base,segundos
hurdle_sigma_x,3_aci_pit_g02,2025-S2,92.1,0.5,530.4,314.4,0.0,723.8,723.8058069795106,184,22941,94.95,0.1054,0.3
hurdle_sigma_x,3_aci_pit_g02,2026-S1,90.6,0.67,410.4,220.8,0.0,612.4,612.3693895420824,151,19146,77.71,0.1213,0.3
hurdle_sigma_x,3_aci_pit_g05,test_pre,93.5,0.94,598.8,352.9,0.0,752.2,752.1684760005159,30,3390,92.3,0.1036,0.2
hurdle_sigma_x,3_aci_pit_g05,test_transition,89.5,0.82,648.9,365.1,0.0,927.1,927.0645656455981,92,10607,125.03,0.0721,0.2
hurdle_sigma_x,3_aci_pit_g05,2025-S1,88.0,1.0,387.0,174.7,2.2,577.3,inf,181,21784,69.53,0.1614,0.2
hurdle_sigma_x,3_aci_pit_g05,2025-S2,91.5,0.56,625.8,304.9,9.6,852.3,inf,184,22941,94.95,0.1054,0.2
hurdle_sigma_x,3_aci_pit_g05,2026-S1,91.1,0.66,446.4,229.8,0.0,635.2,635.2015718061502,151,19146,77.71,0.1213,0.2
hurdle_sigma_x,4_transporte_banda_g02,test_pre,93.1,0.99,567.6,338.7,0.0,728.9,728.872459253586,30,3390,92.3,0.1036,7.5
hurdle_sigma_x,4_transporte_banda_g02,test_transition,88.9,0.94,668.6,356.6,0.0,968.8,968.7906613904474,92,10607,125.03,0.0721,7.5
hurdle_sigma_x,4_transporte_banda_g02,2025-S1,88.1,1.01,407.6,184.9,0.0,589.3,589.3204930314103,181,21784,69.53,0.1614,7.5
hurdle_sigma_x,4_transporte_banda_g02,2025-S2,91.2,0.58,629.4,337.7,0.0,847.7,847.7404716605524,184,22941,94.95,0.1054,7.5
hurdle_sigma_x,4_transporte_banda_g02,2026-S1,91.9,0.6,477.4,244.8,0.0,653.7,653.7293931806266,151,19146,77.71,0.1213,7.5
hurdle_sigma_x,4_transporte_banda_g05,test_pre,92.4,1.06,550.1,328.5,0.0,717.8,717.7654389358946,30,3390,92.3,0.1036,7.2
hurdle_sigma_x,4_transporte_banda_g05,test_transition,89.5,0.96,732.8,384.1,0.0,1000.1,1000.0913241471932,92,10607,125.03,0.0721,7.2
hurdle_sigma_x,4_transporte_banda_g05,2025-S1,88.1,0.99,399.9,179.5,2.8,584.1,inf,181,21784,69.53,0.1614,7.2
hurdle_sigma_x,4_transporte_banda_g05,2025-S2,91.4,0.58,629.0,315.7,10.7,861.3,inf,184,22941,94.95,0.1054,7.2
hurdle_sigma_x,4_transporte_banda_g05,2026-S1,91.2,0.68,483.5,236.0,0.0,664.8,664.7916632100208,151,19146,77.71,0.1213,7.2
qgbm_multi,1_estatico_pit,test_pre,91.2,1.62,325.7,259.2,0.0,421.5,421.4697751612599,30,3390,71.85,0.1261,0.0
qgbm_multi,1_estatico_pit,test_transition,90.6,0.85,410.3,316.7,0.0,587.7,587.6562161847675,92,10607,92.92,0.1027,0.0
qgbm_multi,1_estatico_pit,2025-S1,88.0,0.99,221.4,158.7,0.0,375.6,375.5999020578298,181,21784,57.6,0.1843,0.0
qgbm_multi,1_estatico_pit,2025-S2,91.7,0.46,319.2,235.9,0.0,452.6,452.6264814911893,184,22941,71.51,0.1472,0.0
qgbm_multi,1_estatico_pit,2026-S1,90.6,0.67,252.8,179.2,0.0,390.0,389.9974744004042,151,19146,60.66,0.1409,0.0
qgbm_multi,2_ventana60d_pit,test_pre,91.9,1.53,331.4,265.3,0.0,421.4,421.3562717846874,30,3390,71.85,0.1261,0.1
qgbm_multi,2_ventana60d_pit,test_transition,90.1,0.94,409.4,313.9,0.0,597.8,597.7955465805486,92,10607,92.92,0.1027,0.1
qgbm_multi,2_ventana60d_pit,2025-S1,87.2,1.06,220.7,159.1,0.0,383.0,383.0020202509398,181,21784,57.6,0.1843,0.1
qgbm_multi,2_ventana60d_pit,2025-S2,91.8,0.49,319.9,242.4,0.0,457.8,457.7817159205291,184,22941,71.51,0.1472,0.1
qgbm_multi,2_ventana60d_pit,2026-S1,90.4,0.69,251.7,179.0,0.0,392.8,392.8297680314752,151,19146,60.66,0.1409,0.1
qgbm_multi,3_aci_pit_g02,test_pre,91.3,1.62,326.3,259.4,0.0,421.6,421.5987122971712,30,3390,71.85,0.1261,0.3
qgbm_multi,3_aci_pit_g02,test_transition,90.6,0.86,411.5,317.2,0.0,588.4,588.4027243882713,92,10607,92.92,0.1027,0.3
qgbm_multi,3_aci_pit_g02,2025-S1,87.9,1.02,224.4,162.1,0.0,379.6,379.64949615340106,181,21784,57.6,0.1843,0.3
qgbm_multi,3_aci_pit_g02,2025-S2,92.1,0.49,325.8,248.4,0.0,460.2,460.1512216245414,184,22941,71.51,0.1472,0.3
qgbm_multi,3_aci_pit_g02,2026-S1,90.2,0.71,250.1,175.9,0.0,393.4,393.43479560024565,151,19146,60.66,0.1409,0.3
qgbm_multi,3_aci_pit_g05,test_pre,91.4,1.62,326.6,260.0,0.0,421.5,421.5114412351275,30,3390,71.85,0.1261,0.3
qgbm_multi,3_aci_pit_g05,test_transition,90.6,0.87,411.7,321.4,0.0,588.1,588.092552686608,92,10607,92.92,0.1027,0.3
qgbm_multi,3_aci_pit_g05,2025-S1,88.0,1.07,229.4,161.1,1.7,388.5,inf,181,21784,57.6,0.1843,0.3
qgbm_multi,3_aci_pit_g05,2025-S2,91.6,0.56,327.7,246.1,8.0,483.4,inf,184,22941,71.51,0.1472,0.3
qgbm_multi,3_aci_pit_g05,2026-S1,90.6,0.74,256.7,177.9,0.0,397.0,396.9520950118013,151,19146,60.66,0.1409,0.3
qgbm_multi,4_transporte_banda_g02,test_pre,91.8,1.54,330.4,264.7,0.0,421.1,421.08607474539883,30,3390,71.85,0.1261,7.4
qgbm_multi,4_transporte_banda_g02,test_transition,90.4,0.98,420.1,327.3,0.0,600.8,600.8111278269145,92,10607,92.92,0.1027,7.4
qgbm_multi,4_transporte_banda_g02,2025-S1,87.7,1.08,231.0,167.3,0.0,388.7,388.74655467182527,181,21784,57.6,0.1843,7.4
qgbm_multi,4_transporte_banda_g02,2025-S2,91.7,0.54,335.9,256.5,0.0,479.0,478.960980922201,184,22941,71.51,0.1472,7.4
qgbm_multi,4_transporte_banda_g02,2026-S1,91.0,0.7,260.2,184.8,0.0,395.8,395.7855238562053,151,19146,60.66,0.1409,7.4
qgbm_multi,4_transporte_banda_g05,test_pre,91.7,1.55,329.6,264.1,0.0,420.9,420.9096858466002,30,3390,71.85,0.1261,7.1
qgbm_multi,4_transporte_banda_g05,test_transition,90.5,0.99,425.0,332.3,0.0,602.1,602.0541048074521,92,10607,92.92,0.1027,7.1
qgbm_multi,4_transporte_banda_g05,2025-S1,87.8,1.12,243.5,167.9,5.5,406.4,inf,181,21784,57.6,0.1843,7.1
qgbm_multi,4_transporte_banda_g05,2025-S2,91.3,0.59,333.0,248.4,9.6,495.0,inf,184,22941,71.51,0.1472,7.1
qgbm_multi,4_transporte_banda_g05,2026-S1,91.0,0.76,268.3,187.2,0.0,403.3,403.2921761355153,151,19146,60.66,0.1409,7.1
