ventana,x,observado,pred_con_quiebre,pred_recta_unica,error_quiebre,error_recta
test_transition,-8.4218,55.6777,54.24383889681141,43.04093692968834,1.4338611031885904,12.636763070311659
test_pre,-4.7493,17.2658,29.63851664440365,26.501232309462097,-12.372716644403653,-9.235432309462098
2025-S2,-3.1032,30.6937,18.609838370832946,19.087751635437748,12.083861629167053,11.605948364562252
2025-S1,-1.5222,12.3974,8.017322514861073,11.967459462646,4.380077485138926,0.42994053735399973
2026-S1,-0.8221,11.766,3.3267340577036375,8.814444566901848,8.439265942296363,2.951555433098152
