clave,doi,fuente,http,titulo_registro,titulo_exacto,titulo_cobertura,titulo_ok,autor1_registro,autor1_ok,anios_registro,anio_ok,revista_registro,revista_ok,coteja
chernozhukov2021,10.1073/pnas.2107794118,Crossref,200,Distributional conformal prediction,True,1.0,True,Chernozhukov,True,2021,True,Proceedings of the National Academy of Sciences,True,si
romano2019,,sin DOI,,,,,,,,,,,,
hu2022,10.1016/j.energy.2022.123497,Crossref,200,Conformalized temporal convolutional quantile regression networks for wind power interval forecasting,True,1.0,True,Hu,True,2022,True,Energy,True,si
jensen2024,10.1109/TNNLS.2022.3217694,Crossref,200,Ensemble Conformalized Quantile Regression for Probabilistic Time Series Forecasting,True,1.0,True,Jensen,True,2024,True,IEEE Transactions on Neural Networks and Learning Systems,True,si
peyre2019,10.1561/2200000073,Crossref,200,Computational Optimal Transport with Applications to Data Sciences,True,1.0,True,Peyré,True,2019,True,Foundations and Trends® in Machine Learning,True,si
chernozhukov2010,10.3982/ECTA7880,Crossref (autores de OpenAlex),200,Quantile and Probability Curves Without Crossing,True,1.0,True,Chernozhukov,True,2010,True,Econometrica,True,si
killick2012,10.1080/01621459.2012.737745,Crossref,200,Optimal Detection of Changepoints With a Linear Computational Cost,True,1.0,True,Killick,True,2012,True,Journal of the American Statistical Association,True,si
gneiting2007,10.1198/016214506000001437,Crossref,200,"Strictly Proper Scoring Rules, Prediction, and Estimation",True,1.0,True,Gneiting,True,2007,True,Journal of the American Statistical Association,True,si
smith1985,10.1002/for.3980040305,Crossref,200,Diagnostic checks of non‐standard time series models,True,1.0,True,Smith,True,1985 2006,True,Journal of Forecasting,True,si
dataset2026,10.5281/zenodo.21198816,DataCite,200,"An errata-corrected, plant-level dataset of solar, wind and hydropower curtailment in Chile's National Electricity System (2022–2026)",True,1.0,True,Reyes Cerda,True,2026,True,Zenodo,True,si
