doi,titulo,autores,n_autores,revista,anio,citas,tipo,editorial,tema,consulta
10.1016/j.rser.2023.113696,Real-world data analysis of distributed PV and battery energy storage system curtailment in low voltage networks,"Yildiz, Baran; Stringer, Naomi; Klymenko, Timothy; Syahman Samhan, Muhammad; Abramowitz, Greg; Bruce, Anna; MacGill, Iain; Egan, Renate",9,Renewable and Sustainable Energy Reviews,2023,42,journal-article,Elsevier BV,operacion_de_almacenamiento,battery energy storage operation renewable curtailment
10.1016/j.renene.2015.04.010,More accurate sizing of renewable energy sources under high levels of electric vehicle integration,"Atia, Raji; Yamada, Noboru",2,Renewable Energy,2015,41,journal-article,Elsevier BV,operacion_de_almacenamiento,energy storage sizing renewable integration
10.1016/j.est.2021.102641,Techno-economic optimisation of battery storage for grid-level energy services using curtailed energy from wind,"Rayit, Narinderjeet Singh; Chowdhury, Jahedul Islam; Balta-Ozkan, Nazmiye",3,Journal of Energy Storage,2021,40,journal-article,Elsevier BV,operacion_de_almacenamiento,grid scale battery storage dispatch optimisation
10.1016/j.est.2024.113688,Renewable-storage sizing approaches for centralized and distributed renewable energy—A state-of-the-art review,"Zhou, Yuekuan",1,Journal of Energy Storage,2024,36,journal-article,Elsevier BV,operacion_de_almacenamiento,energy storage sizing renewable integration
10.1016/j.est.2020.101651,Economic battery sizing and power dispatch in a grid-connected charging station using convex method,"Mirhoseini, Peiman; Ghaffarzadeh, Navid",2,Journal of Energy Storage,2020,35,journal-article,Elsevier BV,operacion_de_almacenamiento,grid scale battery storage dispatch optimisation
10.1049/stg2.12063,Optimisation methods for dispatch and control of energy storage with renewable integration,"Guo, Zhongjie; Wei, Wei; Shahidehpour, Mohammad; Wang, Zhaojian; Mei, Shengwei",5,IET Smart Grid,2022,33,journal-article,Institution of Engineering and Technology (IET),operacion_de_almacenamiento,grid scale battery storage dispatch optimisation
10.1016/j.renene.2022.07.069,Sizing of energy storage systems for ramp rate control of photovoltaic strings,"Lappalainen, Kari; Valkealahti, Seppo",2,Renewable Energy,2022,27,journal-article,Elsevier BV,operacion_de_almacenamiento,energy storage sizing renewable integration
10.1109/tsg.2023.3243021,Optimal Dispatch of Battery Energy Storage in Distribution Network Considering Electrothermal-Aging Coupling,"Li, Yinxiao; Gu, Yuxuan; He, Guannan; Chen, Qixin",4,IEEE Transactions on Smart Grid,2023,26,journal-article,Institute of Electrical and Electronics Engineers (IEEE),operacion_de_almacenamiento,grid scale battery storage dispatch optimisation
10.1016/j.est.2024.114116,A multi-objective techno-economic operation of distribution network considering reactive power support from renewable energy and battery storage system,"Gangil, Gaurav; Goyal, Sunil Kumar; Saraswat, Amit",3,Journal of Energy Storage,2024,24,journal-article,Elsevier BV,operacion_de_almacenamiento,battery energy storage operation renewable curtailment
10.1049/iet-rpg.2019.1310,Hybrid battery‐ultracapacitor storage system sizing for renewable energy network integration,"Gonzalez‐Gonzalez, Jose M.; Martin, Sebastian; Lopez, Pablo; Aguado, Jose A.",4,IET Renewable Power Generation,2020,23,journal-article,Institution of Engineering and Technology (IET),operacion_de_almacenamiento,energy storage sizing renewable integration
10.1016/j.renene.2024.122153,Economic dispatch of offshore renewable energy resources for islanded communities with optimal storage sizing,"Wyckoff, Kevin; Moazeni, Faegheh; Khazaei, Javad; Banerjee, Arindam",4,Renewable Energy,2025,11,journal-article,Elsevier BV,operacion_de_almacenamiento,energy storage sizing renewable integration
10.1016/s0960-1481(96)00118-8,New technique for short term storage sizing,"Matrawy, K.K.; Farkas, I.",2,Renewable Energy,1997,9,journal-article,Elsevier BV,operacion_de_almacenamiento,energy storage sizing renewable integration
10.1016/j.renene.2023.05.010,Impact of optimal sizing and integration of thermal energy storage in solar assisted energy systems,"Alrobaian, Abdulrahman A.",1,Renewable Energy,2023,7,journal-article,Elsevier BV,operacion_de_almacenamiento,energy storage sizing renewable integration
10.1016/j.est.2020.101443,Sizing Storage for Reliable Renewable Integration: A Large Deviations Approach,"Deulkar, Vivek; Nair, Jayakrishnan; Kulkarni, Ankur A.",3,Journal of Energy Storage,2020,6,journal-article,Elsevier BV,operacion_de_almacenamiento,energy storage sizing renewable integration
10.3390/en13205517,Distributed Battery Energy Storage Co-Operation for Renewable Energy Sources Integration,"Abdeltawab, Hussein M.; Mohamed, Yasser A. I.",2,Energies,2020,5,journal-article,MDPI AG,operacion_de_almacenamiento,battery energy storage operation renewable curtailment
10.1088/1742-6596/977/1/012005,Joint optimisation of arbitrage profits and battery life degradation for grid storage application of battery electric vehicles,"Kies, Alexander",1,Journal of Physics: Conference Series,2018,5,journal-article,IOP Publishing,operacion_de_almacenamiento,grid scale battery storage dispatch optimisation
10.1016/j.est.2024.112562,Optimal dispatch strategy of battery energy storage system in utility-scale photovoltaic integrated grid under variability,"Islam, Azazul; Jawad, Atik; Masood, Nahid-Al",3,Journal of Energy Storage,2024,3,journal-article,Elsevier BV,operacion_de_almacenamiento,grid scale battery storage dispatch optimisation
10.3390/buildings11100433,Dispatch Strategies for the Utilisation of Battery Storage Systems in Smart Grid Optimised Buildings,"Georgakarakos, Andreas; Vand, Behrang; Hathway, Elizabeth; Mayfield, Martin",4,Buildings,2021,2,journal-article,MDPI AG,operacion_de_almacenamiento,grid scale battery storage dispatch optimisation
10.7836/kses.2023.43.2.001,Operation Planing and Capacity Calculation of Energy Storage Systems Considering Curtailment of Renewable Energy,"Kim, Youngmin; Son, Beomseok; Kim, Se Ho",3,Journal of the Korean Solar Energy Society,2023,1,journal-article,The Korean Solar Energy Society,operacion_de_almacenamiento,battery energy storage operation renewable curtailment
10.1016/j.est.2026.123041,Sizing and techno-economic assessment of battery energy storage systems for renewable energy curtailment mitigation in islanded power systems: Application to Cyprus,"Chatzigeorgiou, Nikolas G.; Theocharides, Spyros; Makrides, George; Georghiou, George E.",4,Journal of Energy Storage,2026,0,journal-article,Elsevier BV,operacion_de_almacenamiento,battery energy storage operation renewable curtailment
10.52152/4567,Optimal operation of Distributed Battery Energy Storage System,R. Chaer; G. Flieller; G. Casaravilla,3,Renewable Energy and Power Quality Journal,2025,0,journal-article,Cultech Publishing Sdn. Bhd.,operacion_de_almacenamiento,battery energy storage operation renewable curtailment
10.1016/j.eneco.2026.109558,"Trading off capacity factors, location, storage, access charges and curtailment for renewable electricity","Newbery, David",1,Energy Economics,2026,0,journal-article,Elsevier BV,operacion_de_almacenamiento,battery energy storage operation renewable curtailment
10.3390/en19153584,Techno-Economic Optimisation of Wind Curtailment Utilisation with Battery Storage Dispatch to Electricity and EV Charging Markets,"Apostolou, Dimitrios; Gryparis, Emmanouil",2,Energies,2026,0,journal-article,MDPI AG,operacion_de_almacenamiento,grid scale battery storage dispatch optimisation
10.3390/esa3030013,"Cross-Class Value of Battery Energy Storage in Low-Voltage Grids: Grid Relief, Dispatch-Coupled Ageing, and Cost-Effectiveness","Zurmühlen, Sebastian; Brucksch, Jonas; Sauer, Dirk Uwe",3,Energy Storage and Applications,2026,0,journal-article,MDPI AG,operacion_de_almacenamiento,grid scale battery storage dispatch optimisation
10.61762/pajevol9iss1art008,Bi-Level Energy Dispatch Optimisation for Peak Load Shaving in Microgrids with Battery Storage,"Romlie, Mohd Fakhizan; Ali, Abid; Shafiullah, GM",3,Platform A Journal of Engineering,2025,0,journal-article,Universiti Teknologi PETRONAS,operacion_de_almacenamiento,grid scale battery storage dispatch optimisation
10.1016/j.ref.2026.100910,Energy storage and flexibility sizing for renewable integration pathways:A multi-stage techno-economic optimisation framework,"Varhegyi, Gergo; Nour, Mutasim",2,Renewable Energy Focus,2026,0,journal-article,Elsevier BV,operacion_de_almacenamiento,energy storage sizing renewable integration
10.1016/j.renene.2026.125797,A reliability-oriented energy storage sizing assessment method for PV systems based on energy decomposition,"Yuan, Xingzhi; Wei, Yanji; Yang, Hongxing",3,Renewable Energy,2026,0,journal-article,Elsevier BV,operacion_de_almacenamiento,energy storage sizing renewable integration
10.1016/j.energy.2022.123497,Conformalized temporal convolutional quantile regression networks for wind power interval forecasting,"Hu, Jianming; Luo, Qingxi; Tang, Jingwei; Heng, Jiani; Deng, Yuwen",5,Energy,2022,65,journal-article,Elsevier BV,prediccion_conforme,conformalized quantile regression
10.1109/tnnls.2022.3217694,Ensemble Conformalized Quantile Regression for Probabilistic Time Series Forecasting,"Jensen, Vilde; Bianchi, Filippo Maria; Anfinsen, Stian Normann",3,IEEE Transactions on Neural Networks and Learning Systems,2024,63,journal-article,Institute of Electrical and Electronics Engineers (IEEE),prediccion_conforme,conformalized quantile regression
10.1093/biomet/asac040,Localized conformal prediction: a generalized inference framework for conformal prediction,"Guan, Leying",1,Biometrika,2022,57,journal-article,Oxford University Press (OUP),prediccion_conforme,adaptive conformal inference
10.3390/en18185000,Benchmarking Transformer Variants for Hour-Ahead PV Forecasting: PatchTST with Adaptive Conformal Inference,"Suresh, Vishnu",1,Energies,2025,20,journal-article,MDPI AG,prediccion_conforme,adaptive conformal inference
10.1088/1361-6501/ad762c,Remaining useful life prediction based on time-series features and conformalized quantile regression,"Mao, Song; Li, Xiaofeng; Zhao, Boyang",3,Measurement Science and Technology,2024,17,journal-article,IOP Publishing,prediccion_conforme,conformalized quantile regression
10.1016/j.eswa.2023.122322,Improving conformalized quantile regression through cluster-based feature relevance,"Sousa, Martim; Tomé, Ana Maria; Moreira, José",3,Expert Systems with Applications,2024,11,journal-article,Elsevier BV,prediccion_conforme,conformalized quantile regression
10.1109/tii.2025.3529920,Uncertainty Quantification Based on Conformal Prediction for Industrial Time Series With Distribution Shift,"Zhang, Ruiyao; Zhou, Ping",2,IEEE Transactions on Industrial Informatics,2025,10,journal-article,Institute of Electrical and Electronics Engineers (IEEE),prediccion_conforme,conformal prediction time series distribution shift
10.1016/j.asoc.2025.113476,A novel wind power interval prediction method based on neural ensemble search and dynamic conformalized quantile regression,"Hu, Jianming; Deng, Yuwen; Che, Jinxing",3,Applied Soft Computing,2025,9,journal-article,Elsevier BV,prediccion_conforme,conformalized quantile regression
10.3390/su18020739,Probabilistic Photovoltaic Power Forecasting with Reliable Uncertainty Quantification via Multi-Scale Temporal–Spatial Attention and Conformalized Quantile Regression,"Wang, Guanghu; Zhou, Yan; Yan, Yan; Zhou, Zhihan; Yang, Zikang; Dai, Litao; Huang, Junpeng",7,Sustainability,2026,9,journal-article,MDPI AG,prediccion_conforme,conformalized quantile regression
10.1016/j.knosys.2025.114222,Mamba based adaptive conformal inference for probabilistic short-term load forecasting,"Suresh, Vishnu; Swain, Anshuman; Revathi, B. Sri; Guerrero, Josep M.",4,Knowledge-Based Systems,2025,8,journal-article,Elsevier BV,prediccion_conforme,adaptive conformal inference
10.1038/s41598-026-40637-w,Conformal selective prediction with cost aware deferral for safe clinical triage under distribution shift,"Kwon, Hyun; Kim, Dae-Jin",2,Scientific Reports,2026,7,journal-article,Springer Science and Business Media LLC,prediccion_conforme,conformal prediction time series distribution shift
10.1609/aaai.v39i16.33915,CUQDS: Conformal Uncertainty Quantification Under Distribution Shift for Trajectory Prediction,"Huang, Huiqun; He, Sihong; Miao, Fei",3,Proceedings of the AAAI Conference on Artificial Intelligence,2025,7,journal-article,Association for the Advancement of Artificial Intelligence (AAAI),prediccion_conforme,conformal prediction time series distribution shift
10.1016/j.jpowsour.2025.239123,Enhancing reliability in electrified transportation: A conformalized quantile regression framework for battery state-of-charge uncertainty quantification,"Soon, Kian Lun; Soon, Lam Tatt",2,Journal of Power Sources,2026,7,journal-article,Elsevier BV,prediccion_conforme,conformalized quantile regression
10.1007/s10489-025-06708-7,Conformal prediction for out-of-distribution time-series classification,"Nanopoulos, Alexandros; Buza, Krisztian",2,Applied Intelligence,2025,6,journal-article,Springer Science and Business Media LLC,prediccion_conforme,conformal prediction time series distribution shift
10.1016/j.patcog.2025.111999,Beyond conformal predictors: Adaptive Conformal Inference with confidence predictors,"Hallberg Szabadváry, Johan; Löfström, Tuwe",2,Pattern Recognition,2026,6,journal-article,Elsevier BV,prediccion_conforme,adaptive conformal inference
10.3390/jrfm17060248,Adaptive Conformal Inference for Computing Market Risk Measures: An Analysis with Four Thousand Crypto-Assets,"Fantazzini, Dean",1,Journal of Risk and Financial Management,2024,5,journal-article,MDPI AG,prediccion_conforme,adaptive conformal inference
10.1214/25-aos2495,Conformal inference for random objects,"Zhou, Hang; Müller, Hans-Georg",2,The Annals of Statistics,2025,4,journal-article,Institute of Mathematical Statistics,prediccion_conforme,adaptive conformal inference
10.1002/sdtp.16549,22‐2: Low power consumption optimization using conformalized quantile regression,"Park, Kyongtae; Chu, SeongBaik",2,SID Symposium Digest of Technical Papers,2023,3,journal-article,Wiley,prediccion_conforme,conformalized quantile regression
10.1109/access.2025.3601406,AFMDS: Attention-Based Forecasting Model Against Distribution Shift for Long-Term Non-Stationary Time Series Prediction,"Xu, Haiyan",1,IEEE Access,2025,2,journal-article,Institute of Electrical and Electronics Engineers (IEEE),prediccion_conforme,conformal prediction time series distribution shift
10.1038/s41598-026-40911-x,A non-parametric adaptive conformal inference based probabilistic hour-ahead solar PV power forecasting method,"Suresh, Vishnu; Revathi, B. Sri; Guerrero, Josep M.",3,Scientific Reports,2026,2,journal-article,Springer Science and Business Media LLC,prediccion_conforme,adaptive conformal inference
10.1007/s00500-025-11152-3,CondSR: Conditional Shift-Robust Conformal Prediction for Graph Neural Networks,"Akansha, S.",1,Soft Computing,2026,1,journal-article,Springer Science and Business Media LLC,prediccion_conforme,conformal prediction time series distribution shift
10.3390/en19061495,"Model-Agnostic, Probabilistic, Hour-Ahead Solar PV Forecasting Using Adaptive Conformal Inference","Suresh, Vishnu",1,Energies,2026,1,journal-article,MDPI AG,prediccion_conforme,adaptive conformal inference
10.61424/ka6yps02,Distribution-Free Selective Prediction for LLM-RAG Hallucination Detection: Word-Level Conformal Risk Control under Domain Shift,"Lin, Monica",1,Stout in Mathematics and Statistics,2026,0,journal-article,Bluemark Publishers,prediccion_conforme,conformal prediction time series distribution shift
10.3390/en19143446,Out-of-Distribution-Aware Time Series Conformal Prediction with Adaptive Retraining for Solar Power Forecasting,"Ilić, Uroš; Kundačina, Ognjen; Petrušić, Andrija; Andrejević Stošović, Miona; Radivojević, Novak; Stajić, Zoran",6,Energies,2026,0,journal-article,MDPI AG,prediccion_conforme,conformal prediction time series distribution shift
10.19139/soic-2310-5070-3782,Rolling-Calibrated Conformal Decision Support for Seasonal Airport Taxi-Time Planning under Distribution Shift,"Momtaz, Soufiane",1,"Statistics, Optimization &amp; Information Computing",2026,0,journal-article,International Academic Press,prediccion_conforme,conformal prediction time series distribution shift
10.3390/electronics15153488,Frequency–Time Domain Alignment for Cross-Subject Time-Series Classification Under Distribution Shift,"Won, Dong-Hyun; Shin, Kwang-Seong",2,Electronics,2026,0,journal-article,MDPI AG,prediccion_conforme,conformal prediction time series distribution shift
10.1007/s12546-026-09422-4,Conformal prediction for functional time series: application to age-specific mortality rates,"Shang, Han Lin",1,Journal of Population Research,2026,0,journal-article,Springer Science and Business Media LLC,prediccion_conforme,conformal prediction time series distribution shift
10.36001/ijphm.2026.v17i1.4724,Remaining Useful Life Estimation for Aircraft Engines with Risk-Aware Prediction Intervals via Conformalized Quantile Regression,"Robinson, Colby",1,International Journal of Prognostics and Health Management,2026,0,journal-article,PHM Society,prediccion_conforme,conformalized quantile regression
10.3390/forecast8040055,DG-TFT-CQR: A Dynamic Graph–Temporal Fusion Transformer with Conformalized Quantile Regression for Wind Power Forecasting,"El Bakkali, Yassir; Krami, Nissrine; Rochdi, Youssef; Boukaibat, Achraf",4,Forecasting,2026,0,journal-article,MDPI AG,prediccion_conforme,conformalized quantile regression
10.1002/gepi.70008,Uncertainty Quantification in Epigenetic Clocks via Conformalized Quantile Regression,"Li, Yanping; Goodrich, Jaclyn M.; Peterson, Karen E.; Song, Peter X.‐K.; Luo, Lan",5,Genetic Epidemiology,2025,0,journal-article,Wiley,prediccion_conforme,conformalized quantile regression
10.1016/j.ress.2026.113370,Boosting solar power grid reliability: Calibrated uncertainty quantification via conformalized quantile regression framework,"Soon, Kian Lun; Soon, Lam Tatt; Lai, Nai Shyan; Tee, Wei Hown",4,Reliability Engineering &amp; System Safety,2027,0,journal-article,Elsevier BV,prediccion_conforme,conformalized quantile regression
10.1016/j.measurement.2026.121765,Hierarchical adaptive conformal inference for reliable uncertainty quantification in edge-deployable medical wearables,"ALLAM, Oussama EL; HAMLICH, Mohamed",2,Measurement,2026,0,journal-article,Elsevier BV,prediccion_conforme,adaptive conformal inference
10.47813/2782-5280-2026-5-2-2050-2061,Stabilized adaptive robust conformal inference for small-sample regression under contamination and heavy-tailed errors,"Alrefaee, S. D.; Alkailany, M. A.",2,Информатика. Экономика. Управление - Informatics. Economics. Management,2026,0,journal-article,Krasnoyarsk Science and Technology City Hall,prediccion_conforme,adaptive conformal inference
10.5705/ss.202025.0476,Conformal Causal Inference for Cluster Randomized Trials: Model-robust Inference Without Asymptotic Approximations,"Wang, Bingkai; Li, Fan; Yu, Mengxin",3,Statistica Sinica,2029,0,journal-article,Statistica Sinica (Institute of Statistical Science),prediccion_conforme,adaptive conformal inference
10.1007/s00181-022-02344-z,"Hotelling tubes, confidence bands and conformal inference","Koenker, Roger",1,Empirical Economics,2023,0,journal-article,Springer Science and Business Media LLC,prediccion_conforme,adaptive conformal inference
10.1016/j.rser.2018.01.009,Short-term integration costs of variable renewable energy: Wind curtailment and balancing in Britain and Germany,"Joos, Michael; Staffell, Iain",2,Renewable and Sustainable Energy Reviews,2018,260,journal-article,Elsevier BV,pronostico_de_vertimiento,renewable energy curtailment forecasting
10.1016/j.renene.2015.11.073,Machine learning ensembles for wind power prediction,"Heinermann, Justin; Kramer, Oliver",2,Renewable Energy,2016,216,journal-article,Elsevier BV,pronostico_de_vertimiento,wind power curtailment prediction machine learning
10.1016/j.renene.2018.06.079,Timescales of energy storage needed for reducing renewable energy curtailment,"Denholm, Paul; Mai, Trieu",2,Renewable Energy,2019,205,journal-article,Elsevier BV,pronostico_de_vertimiento,renewable energy curtailment forecasting
10.1016/j.apenergy.2021.116805,"Economic operation of a wind-solar-hydro complementary system considering risks of output shortage, power curtailment and spilled water","Huang, Kangdi; Liu, Pan; Ming, Bo; Kim, Jong-Suk; Gong, Yu",5,Applied Energy,2021,151,journal-article,Elsevier BV,pronostico_de_vertimiento,solar curtailment prediction power system
10.3390/en15072327,Efficient Wind Power Prediction Using Machine Learning Methods: A Comparative Study,"Alkesaiberi, Abdulelah; Harrou, Fouzi; Sun, Ying",3,Energies,2022,150,journal-article,MDPI AG,pronostico_de_vertimiento,wind power curtailment prediction machine learning
10.1016/j.renene.2020.07.017,Scheduling electric vehicle charging to minimise carbon emissions and wind curtailment,"Dixon, James; Bukhsh, Waqquas; Edmunds, Calum; Bell, Keith",4,Renewable Energy,2020,145,journal-article,Elsevier BV,pronostico_de_vertimiento,renewable energy curtailment forecasting
10.1016/j.rser.2018.07.021,"Solar energy curtailment in China: Status quo, reasons and solutions","Tang, Ningning; Zhang, Yuning; Niu, Yuguang; Du, Xiaoze",4,Renewable and Sustainable Energy Reviews,2018,122,journal-article,Elsevier BV,pronostico_de_vertimiento,renewable energy curtailment forecasting
10.3390/app132011455,Prediction of Wind Power with Machine Learning Models,"Karaman, Ömer Ali",1,Applied Sciences,2023,94,journal-article,MDPI AG,pronostico_de_vertimiento,wind power curtailment prediction machine learning
10.1016/j.renene.2018.01.090,"Hydropower curtailment in Yunnan Province, southwestern China: Constraint analysis and suggestions","Liu, Benxi; Liao, Shengli; Cheng, Chuntian; Chen, Fu; Li, Weidong",5,Renewable Energy,2018,92,journal-article,Elsevier BV,pronostico_de_vertimiento,renewable energy curtailment forecasting
10.1016/j.solener.2017.07.083,Large-scale integration of photovoltaic power in a distribution grid using power curtailment and energy storage,"Luthander, Rasmus; Lingfors, David; Widén, Joakim",3,Solar Energy,2017,76,journal-article,Elsevier BV,pronostico_de_vertimiento,solar curtailment prediction power system
10.1016/j.eneco.2015.03.002,Economic curtailment of intermittent renewable energy sources,"Henriot, Arthur",1,Energy Economics,2015,64,journal-article,Elsevier BV,pronostico_de_vertimiento,renewable energy curtailment forecasting
10.3390/en12040673,Wind Power Prediction Based on Extreme Learning Machine with Kernel Mean p-Power Error Loss,"Li, Ning; He, Fuxing; Ma, Wentao",3,Energies,2019,48,journal-article,MDPI AG,pronostico_de_vertimiento,wind power curtailment prediction machine learning
10.1016/j.renene.2022.03.131,Value of demand flexibility for managing wind energy constraint and curtailment,"Agbonaye, Osaru; Keatley, Patrick; Huang, Ye; Odiase, Friday O.; Hewitt, Neil",5,Renewable Energy,2022,41,journal-article,Elsevier BV,pronostico_de_vertimiento,renewable energy curtailment forecasting
10.3390/electronics11081251,A Risk Curtailment Strategy for Solar PV-Battery Integrated Competitive Power System,"Das, Arup; Dawn, Subhojit; Gope, Sadhan; Ustun, Taha Selim",4,Electronics,2022,38,journal-article,MDPI AG,pronostico_de_vertimiento,solar curtailment prediction power system
10.1016/j.energy.2023.127741,Transmission impedance control impacts on carbon emissions and renewable energy curtailment,"Mirzapour, Omid; Rui, Xinyang; Sahraei-Ardakani, Mostafa",3,Energy,2023,33,journal-article,Elsevier BV,pronostico_de_vertimiento,renewable energy curtailment forecasting
10.1109/access.2019.2939657,Machine Learning-Based Prediction of Icing-Related Wind Power Production Loss,"Scher, Sebastian; Molinder, Jennie",2,IEEE Access,2019,31,journal-article,Institute of Electrical and Electronics Engineers (IEEE),pronostico_de_vertimiento,wind power curtailment prediction machine learning
10.1016/j.renene.2021.04.020,Fair consumer outcomes in the balance: Data driven analysis of distributed PV curtailment,"Stringer, Naomi; Haghdadi, Navid; Bruce, Anna; MacGill, Iain",4,Renewable Energy,2021,24,journal-article,Elsevier BV,pronostico_de_vertimiento,renewable energy curtailment forecasting
10.3390/en13184703,"Renewable Energy Curtailment: Prediction Using a Logic-Based Forecasting Method and Mitigation Measures in Kyushu, Japan","Bunodiere, Alex; Lee, Han Soo",2,Energies,2020,19,journal-article,MDPI AG,pronostico_de_vertimiento,renewable energy curtailment forecasting
10.1016/j.eneco.2025.108472,Implications of renewable electricity curtailment for delivered costs,"Newbery, David",1,Energy Economics,2025,17,journal-article,Elsevier BV,pronostico_de_vertimiento,renewable energy curtailment forecasting
10.1016/j.renene.2024.120424,Fairness and usability analysis in renewable power curtailment: A microgrid network study using bankruptcy rules,"Alyami, Saeed",1,Renewable Energy,2024,15,journal-article,Elsevier BV,pronostico_de_vertimiento,renewable energy curtailment forecasting
10.3390/en11112905,Data-Driven Prediction of Load Curtailment in Incentive-Based Demand Response System,"Kang, Jimyung; Lee, Soonwoo",2,Energies,2018,15,journal-article,MDPI AG,pronostico_de_vertimiento,solar curtailment prediction power system
10.3390/su151411400,Analysis of System Balancing and Wind Power Curtailment Challenges in the Ethiopian Power System under Different Scenarios,"Nefabas, Kena Likassa; Mamo, Mengesha; Söder, Lennart",3,Sustainability,2023,6,journal-article,MDPI AG,pronostico_de_vertimiento,solar curtailment prediction power system
10.1504/ijpelec.2022.124701,Short-time wind power prediction using hybrid kernel extreme learning machine,"Mishra, Sthita Prajna; Naik, Jyotirmayee",2,International Journal of Power Electronics,2022,5,journal-article,Inderscience Publishers,pronostico_de_vertimiento,wind power curtailment prediction machine learning
10.3390/en13184920,Multi-Year High-Voltage Power System Planning Considering Active Power Curtailment,"Schäfer, Florian; Braun, Martin",2,Energies,2020,4,journal-article,MDPI AG,pronostico_de_vertimiento,solar curtailment prediction power system
10.3390/wind2030025,Power Curtailment Analysis of DC Series–Parallel Offshore Wind Farms,"Lakshmanan, Padmavathi",1,Wind,2022,3,journal-article,MDPI AG,pronostico_de_vertimiento,wind power curtailment prediction machine learning
10.62777/pec.v1i1.6,Wind Power Prediction Model Using Machine Learning,"Waweru, Paul; Kagiri, Charles; Mulembo, Titus",3,"Journal of Power, Energy, and Control",2024,1,journal-article,PT. Medika Surya Dwinugraha,pronostico_de_vertimiento,wind power curtailment prediction machine learning
10.1016/j.epsr.2025.112517,Feasibility study of solar power curtailment prediction using multivariate dynamic time warping – based machine learning: A case study of Jeju island,"Lee, Junseo; Cho, Junhwi; Rodrigazo, Shanelle Aira; Kang, Julian; Lee, Kyung-Sun; Yeon, Jaeheum",6,Electric Power Systems Research,2026,1,journal-article,Elsevier BV,pronostico_de_vertimiento,wind power curtailment prediction machine learning
10.3390/su152316291,Multi-Agent Systems and Machine Learning for Wind Turbine Power Prediction from an Educational Perspective,"Soygazi, Fatih",1,Sustainability,2023,1,journal-article,MDPI AG,pronostico_de_vertimiento,wind power curtailment prediction machine learning
10.5013/ijssst.a.20.03.18,Prediction of the Power Generation Solar Power Plant System in Thailand,"Manosukritkul, Phasapon",1,"International journal of simulation: systems, science &amp; technology",2019,1,journal-article,UK Simulation Society,pronostico_de_vertimiento,solar curtailment prediction power system
10.1504/ijpelec.2022.10046564,Short-Time Wind Power Prediction using Hybrid Kernel Extreme Learning Machine,"Mishra, Sthita Prajna; Naik, Jyotirmayee",2,International Journal of Power Electronics,2022,0,journal-article,Inderscience Publishers,pronostico_de_vertimiento,wind power curtailment prediction machine learning
10.1142/s0217984917400577,Stochastic gradient identification algorithm for nonlinear system modeling in wind power curtailment prediction,"Wang, Ziyun; Wu, Dinghui; Wang, Yan; Ji, Zhicheng",4,Modern Physics Letters B,2017,0,journal-article,World Scientific Pub Co Pte Lt,pronostico_de_vertimiento,solar curtailment prediction power system
10.3390/solar6030025,Coordinated Day-Ahead and Intra-Day Scheduling of Cascaded Hydro–Solar Hybrid System Considering Curtailment Risk,"Ai, Xianren; Li, Honggang; Wang, Yuqian; Zhang, Qishun; Peng, Jie; Li, Feifan; Cheng, Chulun",7,Solar,2026,0,journal-article,MDPI AG,pronostico_de_vertimiento,solar curtailment prediction power system
10.1109/67.207471,Telemetering system supports load curtailment and billing,"Mabry, R.; Biagini, D.",2,IEEE Computer Applications in Power,1993,0,journal-article,Institute of Electrical and Electronics Engineers (IEEE),pronostico_de_vertimiento,solar curtailment prediction power system
10.1016/j.apenergy.2018.10.061,Electricity consumption probability density forecasting method based on LASSO-Quantile Regression Neural Network,"He, Yaoyao; Qin, Yang; Wang, Shuo; Wang, Xu; Wang, Chao",5,Applied Energy,2019,143,journal-article,Elsevier BV,pronostico_probabilistico,quantile regression forecasting electricity
10.1016/j.ijforecast.2014.12.004,Probabilistic forecasting of electricity spot prices using Factor Quantile Regression Averaging,"Maciejowska, Katarzyna; Nowotarski, Jakub; Weron, Rafał",3,International Journal of Forecasting,2016,126,journal-article,Elsevier BV,pronostico_probabilistico,quantile regression forecasting electricity
10.1016/j.apm.2018.10.019,Multi-objective algorithm for the design of prediction intervals for wind power forecasting model,"Jiang, Ping; Li, Ranran; Li, Hongmin",3,Applied Mathematical Modelling,2019,117,journal-article,Elsevier BV,pronostico_probabilistico,probabilistic forecasting wind power prediction intervals
10.1109/tpwrs.2021.3053847,Operating Reserve Quantification Using Prediction Intervals of Wind Power: An Integrated Probabilistic Forecasting and Decision Methodology,"Zhao, Changfei; Wan, Can; Song, Yonghua",3,IEEE Transactions on Power Systems,2021,88,journal-article,Institute of Electrical and Electronics Engineers (IEEE),pronostico_probabilistico,probabilistic forecasting wind power prediction intervals
10.1016/j.eneco.2021.105121,Regularized quantile regression averaging for probabilistic electricity price forecasting,"Uniejewski, Bartosz; Weron, Rafał",2,Energy Economics,2021,79,journal-article,Elsevier BV,pronostico_probabilistico,quantile regression forecasting electricity
10.1016/j.solener.2018.06.103,"Probabilistic forecasting of solar power, electricity consumption and net load: Investigating the effect of seasons, aggregation and penetration on prediction intervals","van der Meer, D.W.; Munkhammar, J.; Widén, J.",3,Solar Energy,2018,75,journal-article,Elsevier BV,pronostico_probabilistico,probabilistic forecasting wind power prediction intervals
