doi,titulo,autores,n_autores,revista,anio,citas,tipo,editorial,tema,consulta
10.1109/tia.2015.2483707,On The Use Of The Law Of Times In Calculating Soil Thermal Stability And Underground Cable Ampacity,"Malmedal, Keith; Bates, Carson; Cain, David",3,IEEE Transactions on Industry Applications,2015,4,journal-article,Institute of Electrical and Electronics Engineers (IEEE),capacidad_de_red_y_ampacidad,cable ampacity thermal rating underground power cable
10.24084/repqj14.450,A comparison of mechanical and ultrasonic  anemometers for ampacity thermal rating in overhead lines,A. Laso; M. Mañana; A. Arroyo; A. González; R. Lecuna,5,RE&amp;PQJ,2024,3,journal-article,Cultech Publishing Sdn. Bhd.,capacidad_de_red_y_ampacidad,dynamic thermal rating overhead line ampacity
10.1109/mper.1987.5527295,Generalized Coefficients of External Thermal Resistance for Ampacity Evaluation of Underground Multiple Cable Systems,"Tarasiewicz, E.; El-Kady, M. A.; Anders, G. J.",3,IEEE Power Engineering Review,1987,3,journal-article,Institute of Electrical and Electronics Engineers (IEEE),capacidad_de_red_y_ampacidad,cable ampacity thermal rating underground power cable
10.3390/app151810210,Numerical Assessment of Thermal Effects in Bundled Overhead Conductors for Dynamic Line Rating,"Zia, Ziauddin; Kumru, Celal Fadil",2,Applied Sciences,2025,2,journal-article,MDPI AG,capacidad_de_red_y_ampacidad,dynamic thermal rating overhead line ampacity
10.1049/icp.2021.2627,How to use grid capacity from dynamic line rating for effective integration of renewables,"Kuwahata, R.",1,IET Conference Proceedings,2022,1,journal-article,Institution of Engineering and Technology (IET),capacidad_de_red_y_ampacidad,dynamic line rating transmission capacity
10.4038/engineer.v53i3.7420,Real-Time Dynamic Thermal Rating Method to Uprate the Ampacity of Overhead Transmission Lines: A Case Study,"Rodrigo, Asanka S.; Rishanthi, S.",2,"Engineer: Journal of the Institution of Engineers, Sri Lanka",2020,1,journal-article,Sri Lanka Journals Online (JOL),capacidad_de_red_y_ampacidad,dynamic thermal rating overhead line ampacity
10.1109/ee.1943.6435857,Thermal rating of overhead line wire,"Zucker, Myron",1,Electrical Engineering,1943,1,journal-article,Institute of Electrical and Electronics Engineers (IEEE),capacidad_de_red_y_ampacidad,dynamic thermal rating overhead line ampacity
10.5152/electrica.2025.25109,Assessing Ampacity Performance Through Dynamic Line Rating:  A Comparison of IEEE Std 738 and CIGRÉ TB 601,"Zia, Ziauddin; Kumru, Celal Fadil",2,ELECTRICA,2025,1,journal-article,AVES YAYINCILIK A.Ş.,capacidad_de_red_y_ampacidad,dynamic thermal rating overhead line ampacity
10.15199/48.2024.01.03,An Analysis of the Ampacity and Capital Costs for Underground  High Voltage Power Cable Construction Methods,"Ratchapan, Ritthichai",1,PRZEGLĄD ELEKTROTECHNICZNY,2024,1,journal-article,"Wydawnictwo SIGMA-NOT, sp. z.o.o.",capacidad_de_red_y_ampacidad,cable ampacity thermal rating underground power cable
10.5455/jjee.204-1761025349,Enhancing Transmission Capacity through Dynamic Thermal Rating: Evidence from a transmission line in North-Central Nigeria,"Abdullateef, Ibrahim; Jimada-ojuolape, Bilkisu; Adesina, Lambe; Musa, Abdulwaheed; Ogunbiyi, Olalekan; Balogun, Monsurat",6,Jordan Journal of Electrical Engineering,2026,0,journal-article,ScopeMed,capacidad_de_red_y_ampacidad,dynamic line rating transmission capacity
10.1049/icp.2024.2350,Transmission line dynamic thermal rating capacity enhancement for utility-scale renewable integrated grid considering the dust effects,"Wei, Yawei; Lu, Guangming; Ma, Jun; Wang, Lichun; Zhang, Shuang",5,IET Conference Proceedings,2025,0,journal-article,Institution of Engineering and Technology (IET),capacidad_de_red_y_ampacidad,dynamic line rating transmission capacity
10.4028/www.scientific.net/amr.986-987.239,Analysis on Capacity of Transmission Line Based on Thermal Rating,"Yang, Bo; Wu, Kui Hua; Wang, Yi Qun; Yang, Shen Quan",4,Advanced Materials Research,2014,0,journal-article,"Trans Tech Publications, Ltd.",capacidad_de_red_y_ampacidad,dynamic line rating transmission capacity
10.1016/j.epsr.2026.114012,Branch level dynamic line rating with PV hosting capacity in branched transmission corridors under heterogeneous weather conditions,"Minh, Nguyen Quoc; Hoang, Pham Minh; Anh, Tran Hoang; Minh, Do Hoang; Phuong, Truong Cong; Van Truong, Duong",6,Electric Power Systems Research,2027,0,journal-article,Elsevier BV,capacidad_de_red_y_ampacidad,dynamic line rating transmission capacity
10.1109/mper.1983.5518924,"Dynamic Thermal Line Ratings, Part I - Dynamic Ampacity Rating Algorithm","Foss, Stephen D.; Lin, Sheng H.; Fernandes, Roosevelt A.",3,IEEE Power Engineering Review,1983,0,journal-article,Institute of Electrical and Electronics Engineers (IEEE),capacidad_de_red_y_ampacidad,dynamic thermal rating overhead line ampacity
10.1088/2631-8695/ae3ce1,An IEEE 738-based investigation on thermal behaviour of overhead ACSR conductors for dynamic line rating,"M L, Dhanesh; C H, Ram Jethmalani",2,Engineering Research Express,2026,0,journal-article,IOP Publishing,capacidad_de_red_y_ampacidad,dynamic thermal rating overhead line ampacity
10.1109/mper.1984.5525486,Ampacity of Cable in Covered Tray,"Engmann, Gary",1,IEEE Power Engineering Review,1984,0,journal-article,Institute of Electrical and Electronics Engineers (IEEE),capacidad_de_red_y_ampacidad,cable ampacity thermal rating underground power cable
10.1016/j.enpol.2017.10.037,Renewable energy curtailment: A case study on today's and tomorrow's congestion management,"Schermeyer, Hans; Vergara, Claudio; Fichtner, Wolf",3,Energy Policy,2018,118,journal-article,Elsevier BV,congestion_de_transmision,transmission congestion management renewable curtailment
10.1109/tpwrs.2014.2362922,Wind Power Curtailment and Energy Storage in Transmission Congestion Management Considering Power Plants Ramp Rates,"Vargas, Luis S.; Bustos-Turu, Gonzalo; Larrain, Felipe",3,IEEE Transactions on Power Systems,2015,113,journal-article,Institute of Electrical and Electronics Engineers (IEEE),congestion_de_transmision,transmission congestion management renewable curtailment
10.1109/access.2019.2903210,Congestion Management Method of Low-Voltage Active Distribution Networks Based on Distribution Locational Marginal Price,"Zhao, Jinli; Wang, Yushuo; Song, Guanyu; Li, Peng; Wang, Chengshan; Wu, Jianzhong",6,IEEE Access,2019,69,journal-article,Institute of Electrical and Electronics Engineers (IEEE),congestion_de_transmision,locational marginal price congestion renewable
10.1016/j.apenergy.2019.114103,Distribution locational marginal price-based transactive day-ahead market with variable renewable generation,"Faqiry, M. Nazif; Edmonds, Lawryn; Wu, Hongyu; Pahwa, Anil",4,Applied Energy,2020,50,journal-article,Elsevier BV,congestion_de_transmision,locational marginal price congestion renewable
10.1016/j.renene.2020.01.059,"Curtailment analysis for the Nordic power system considering transmission capacity, inertia limits and generation flexibility","Nycander, Elis; Söder, Lennart; Olauson, Jon; Eriksson, Robert",4,Renewable Energy,2020,49,journal-article,Elsevier BV,congestion_de_transmision,transmission congestion management renewable curtailment
10.1007/s00202-020-00974-z,Calculating the locational marginal price and solving optimal power flow problem based on congestion management using GA-GSF algorithm,"Dashtdar, Masoud; Najafi, Mojtaba; Esmaeilbeig, Mostafa",3,Electrical Engineering,2020,41,journal-article,Springer Science and Business Media LLC,congestion_de_transmision,locational marginal price congestion renewable
10.1016/j.apenergy.2020.116064,Characteristics of locational uncertainty marginal price for correlated uncertainties of variable renewable generation and demands,"Fang, Xin; Cui, Hantao; Du, Ershun; Li, Fangxing; Kang, Chongqing",5,Applied Energy,2021,25,journal-article,Elsevier BV,congestion_de_transmision,locational marginal price congestion renewable
10.1049/iet-gtd.2019.0992,Optimised curtailment of distributed generators for the provision of congestion management services considering discrete controllability,"Liere‐Netheler, Ingo; Schuldt, Frank; von Maydell, Karsten; Agert, Carsten",4,"IET Generation, Transmission &amp; Distribution",2020,22,journal-article,Institution of Engineering and Technology (IET),congestion_de_transmision,transmission congestion management renewable curtailment
10.1007/s11708-016-0404-z,An approach to locational marginal price based zonal congestion management in deregulated electricity market,"Sarwar, Md; Siddiqui, Anwar Shahzad",2,Frontiers in Energy,2016,17,journal-article,Springer Science and Business Media LLC,congestion_de_transmision,locational marginal price congestion renewable
10.1109/access.2019.2939366,Continuous-Time Locational Marginal Price of Electricity,"Khatami, Roohallah; Parvania, Masood",2,IEEE Access,2019,15,journal-article,Institute of Electrical and Electronics Engineers (IEEE),congestion_de_transmision,locational marginal price congestion renewable
10.1109/access.2022.3204803,A Deep Neural Network-Based Optimal Power Flow Approach for Identifying Network Congestion and Renewable Energy Generation Curtailment,"Zafar, Rehman; Vu, Ba Hau; Chung, Il-Yop",3,IEEE Access,2022,11,journal-article,Institute of Electrical and Electronics Engineers (IEEE),congestion_de_transmision,transmission congestion management renewable curtailment
10.1016/j.renene.2007.09.016,High value wind: A method to explore the relationship between wind speed and electricity locational marginal price,"Lewis, Geoffrey McD.",1,Renewable Energy,2008,10,journal-article,Elsevier BV,congestion_de_transmision,locational marginal price congestion renewable
10.1002/tee.20308,Multicriteria transmission congestion management by load curtailment and generation redispatch in a deregulated power system,"Mohd Isa, Aishah; Niimura, Takahide; Yokoyama, Ryuichi",3,IEEJ Transactions on Electrical and Electronic Engineering,2008,5,journal-article,Wiley,congestion_de_transmision,transmission congestion management renewable curtailment
10.2202/1553-779x.1357,Sensitivity Based Approach for Transmission Congestion Management Utilizing Bids for Generation Rescheduling and Load Curtailment,"Singh, Himanshu Kumar; Srivastava, S.C.; Sharma, Ashwani Kumar",3,International Journal of Emerging Electric Power Systems,2006,4,journal-article,Walter de Gruyter GmbH,congestion_de_transmision,transmission congestion management renewable curtailment
10.1002/tee.23677,Congestion Management in Power System Using Locational Marginal Price in Balancing Power Market,"Ba, Djibeyrou; Tsuji, Takao",2,IEEJ Transactions on Electrical and Electronic Engineering,2022,3,journal-article,Wiley,congestion_de_transmision,locational marginal price congestion renewable
10.1063/5.0085911,Research on generalized locational marginal price of integrated electricity–heat–gas market considering integrated demand response,"Lv, Jun; Jiang, Yuewen",2,Journal of Renewable and Sustainable Energy,2022,2,journal-article,AIP Publishing,congestion_de_transmision,locational marginal price congestion renewable
10.2139/ssrn.3495488,Locational Marginal Network Tariffs for Intermittent Renewable Generation,"Tangerås, Thomas; Wolak, Frank A.",2,SSRN Electronic Journal,2019,1,journal-article,Elsevier BV,congestion_de_transmision,locational marginal price congestion renewable
10.1007/s40998-026-01202-3,Wavelet-Enhanced Risk-Aware Optimal Power Flow for Congestion and Curtailment Management in Renewable-Integrated Smart Grids,"Shah, Aamer A.; Wang, Shu C.; Liu, Gai; Hassan, Rizwan U.; Nawaz, Aamir",5,"Iranian Journal of Science and Technology, Transactions of Electrical Engineering",2026,0,journal-article,Springer Science and Business Media LLC,congestion_de_transmision,transmission congestion management renewable curtailment
10.1109/tcst.2026.3692716,"Power Congestion Management of Subtransmission Areas Using Partial Renewable Power Curtailment: Modeling, Control, and Open-Source Software","Ganet-Lepage, Guillaume; Iovine, Alessio; Olaru, Sorin; Giraud, Guillaume; Panciatici, Patrick; Ruiz, Manuel; Saludjian, Lucas",7,IEEE Transactions on Control Systems Technology,2026,0,journal-article,Institute of Electrical and Electronics Engineers (IEEE),congestion_de_transmision,transmission congestion management renewable curtailment
10.3390/sym18030547,Node Symmetry Analysis as an Early Indicator of Locational Marginal Price Growth in Network-Constrained Power Systems with High Renewable Penetration,"Zicmane, Inga; Kovalenko, Sergejs; Sahnovskis, Aleksandrs; Petrichenko, Roman; Junghans, Gatis",5,Symmetry,2026,0,journal-article,MDPI AG,congestion_de_transmision,locational marginal price congestion renewable
10.1109/tpwrs.2020.3001919,Data-Driven Optimal Power Flow: A Physics-Informed Machine Learning Approach,"Lei, Xingyu; Yang, Zhifang; Yu, Juan; Zhao, Junbo; Gao, Qian; Yu, Hongxin",6,IEEE Transactions on Power Systems,2021,168,journal-article,Institute of Electrical and Electronics Engineers (IEEE),modelado_hibrido_fisico_datos,physics informed machine learning power systems
10.1016/j.energy.2022.124384,Point and interval forecasting of ultra-short-term wind power based on a data-driven method and hybrid deep learning model,"Niu, Dongxiao; Sun, Lijie; Yu, Min; Wang, Keke",4,Energy,2022,153,journal-article,Elsevier BV,modelado_hibrido_fisico_datos,hybrid physics data driven model energy forecasting
10.1016/j.energy.2020.117948,A hybrid data mining driven algorithm for long term electric peak load and energy demand forecasting,"Kazemzadeh, Mohammad-Rasool; Amjadian, Ali; Amraee, Turaj",3,Energy,2020,135,journal-article,Elsevier BV,modelado_hibrido_fisico_datos,hybrid physics data driven model energy forecasting
10.1016/j.enconman.2025.119542,Physics-Informed machine learning for solar-thermal power systems,"Osorio, Julian D.; Florio, Mario De; Hovsapian, Rob; Chryssostomidis, Chrys; Karniadakis, George Em",5,Energy Conversion and Management,2025,32,journal-article,Elsevier BV,modelado_hibrido_fisico_datos,physics informed machine learning power systems
10.3390/su14042051,Application of Physics-Informed Machine Learning Techniques for Power Grid Parameter Estimation,"Lakshminarayana, Subhash; Sthapit, Saurav; Maple, Carsten",3,Sustainability,2022,29,journal-article,MDPI AG,modelado_hibrido_fisico_datos,physics informed machine learning power systems
10.1016/j.apenergy.2024.123375,A hybrid physics-based and data-driven model for intra-day and day-ahead wind power forecasting considering a drastically expanded predictor search space,"Kirchner-Bossi, Nicolas; Kathari, Gabriel; Porté-Agel, Fernando",3,Applied Energy,2024,29,journal-article,Elsevier BV,modelado_hibrido_fisico_datos,hybrid physics data driven model energy forecasting
10.1103/prxenergy.2.043003,Physics-Informed Machine Learning for Power Grid Frequency Modeling,"Kruse, Johannes; Cramer, Eike; Schäfer, Benjamin; Witthaut, Dirk",4,PRX Energy,2023,27,journal-article,American Physical Society (APS),modelado_hibrido_fisico_datos,physics informed machine learning power systems
10.1016/j.energy.2024.133309,Hybrid model for robust and accurate forecasting building electricity demand combining physical and data-driven methods,"Dong, Xianzhou; Guo, Weiyong; Zhou, Cheng; Luo, Yongqiang; Tian, Zhiyong; Zhang, Limao; Wu, Xiaoying; Liu, Baobing",8,Energy,2024,25,journal-article,Elsevier BV,modelado_hibrido_fisico_datos,hybrid physics data driven model energy forecasting
10.1016/j.epsr.2022.108362,Physics-informed geometric deep learning for inference tasks in power systems,"de Jongh, Steven; Gielnik, Frederik; Mueller, Felicitas; Schmit, Loris; Suriyah, Michael; Leibfried, Thomas",6,Electric Power Systems Research,2022,24,journal-article,Elsevier BV,modelado_hibrido_fisico_datos,physics informed machine learning power systems
10.1016/j.renene.2024.121258,Advanced feature engineering in microgrid PV forecasting: A fast computing and data-driven hybrid modeling framework,"Habib, Md. Ahasan; Hossain, M.J.",2,Renewable Energy,2024,18,journal-article,Elsevier BV,modelado_hibrido_fisico_datos,hybrid physics data driven model energy forecasting
10.1016/j.ijepes.2023.109741,Physics-informed machine learning with optimization-based guarantees: Applications to AC power flow,"Jalving, Jordan; Eydenberg, Michael; Blakely, Logan; Castillo, Anya; Kilwein, Zachary; Skolfield, J. Kyle; Boukouvala, Fani; Laird, Carl",8,International Journal of Electrical Power &amp; Energy Systems,2024,15,journal-article,Elsevier BV,modelado_hibrido_fisico_datos,physics informed machine learning power systems
10.1016/j.egyr.2025.08.034,Addressing photovoltaic (PV) forecasting challenges: Satellite-driven data models for predicting actual PV generation using hybrid (LSTM-GRU) model,"Negash, Teklebrhan; Weldemikael, Nahom; Ghebregziabiher, Merhawi; Tedla, Yemane; István, Seres; István, Farkas",6,Energy Reports,2025,10,journal-article,Elsevier BV,modelado_hibrido_fisico_datos,hybrid physics data driven model energy forecasting
10.1109/tpwrs.2024.3405543,Physics-Informed Learning Based Wind Farm Two-Machine Aggregation Model for Large-Scale Power System Stability Studies,"Wang, Hongyi; Yang, Zhe; Kang, Wenfa; Sun, Pingyang; Konstantinou, Georgios; Chen, Zhe",6,IEEE Transactions on Power Systems,2025,7,journal-article,Institute of Electrical and Electronics Engineers (IEEE),modelado_hibrido_fisico_datos,physics informed machine learning power systems
10.1016/j.prime.2024.100549,Hybrid emerging model predictive data-driven forecasting of three-phase electrical signals of photovoltaic systems using GBR-LSTM,"Safari, Ashkan",1,"e-Prime - Advances in Electrical Engineering, Electronics and Energy",2024,7,journal-article,Elsevier BV,modelado_hibrido_fisico_datos,hybrid physics data driven model energy forecasting
10.1016/j.epsr.2024.111097,Physics-informed machine learning for forecasting power exchanges at the interface between transmission and distribution systems,"Rosseel, Arnaud; Bakhshideh Zad, Bashir; Vallée, François; De Grève, Zacharie",4,Electric Power Systems Research,2025,6,journal-article,Elsevier BV,modelado_hibrido_fisico_datos,physics informed machine learning power systems
10.1016/j.apenergy.2025.126429,A hybrid approach involving data driven forecasting and super twisting control action for low-carbon microgrids,"Ali, Naghmash; Shen, Xinwei; Armghan, Hammad",3,Applied Energy,2025,5,journal-article,Elsevier BV,modelado_hibrido_fisico_datos,hybrid physics data driven model energy forecasting
10.1063/5.0245781,A hybrid physics and data-driven framework for ultra-short-term wind power forecasting with spatiotemporal learning,"Hou, Jianmin; Yan, Zhuang; Meng, Ying",3,Journal of Renewable and Sustainable Energy,2025,4,journal-article,AIP Publishing,modelado_hibrido_fisico_datos,hybrid physics data driven model energy forecasting
10.1016/j.energy.2026.141163,Weekly periodicity feature-driven CNN-GRU and LightGBM hybrid model for short-term multi-step building load forecasting,"Wang, Zhongrui; Chen, Liang; Wang, Chunbo",3,Energy,2026,3,journal-article,Elsevier BV,modelado_hibrido_fisico_datos,hybrid physics data driven model energy forecasting
10.1016/j.egyr.2025.108953,Short-term data center load forecasting method based on data-physics hybrid driven framework,"Zhao, Ziwei; Liang, Chen; Zhang, Yilin; Zhu, Liu; Wang, Xiaoying; Tang, Junjie",6,Energy Reports,2026,2,journal-article,Elsevier BV,modelado_hibrido_fisico_datos,hybrid physics data driven model energy forecasting
10.1016/j.energy.2025.137636,Mixed-frequency data-driven forecasting of thermal coal price: A novel hybrid model,"Wang, Hui; Zhang, Yiyi; Zhang, Yi; Wang, Jilong; Xie, Yuzhi; Luo, Shen",6,Energy,2025,2,journal-article,Elsevier BV,modelado_hibrido_fisico_datos,hybrid physics data driven model energy forecasting
10.1016/j.epsr.2026.113674,Automated and robust system discovery in power systems assets using physics-informed machine learning,"Chakravorty, Jhelum; Ripamonti, Nicolò; Laneryd, Tor",3,Electric Power Systems Research,2027,1,journal-article,Elsevier BV,modelado_hibrido_fisico_datos,physics informed machine learning power systems
10.1016/j.epsr.2026.113906,A systematic review of physics-informed machine learning for resilient microgrid control and dynamics,"Messlem, Abdelkader; Messlem, Youcef",2,Electric Power Systems Research,2027,0,journal-article,Elsevier BV,modelado_hibrido_fisico_datos,physics informed machine learning power systems
10.3390/app16167969,A Physics-Informed Machine Learning Framework for Adaptive Harmonic Mitigation in Residential Power Systems,"Kamaraj, Sudha; Kailasam, Muthumeenakshi; Subramanian, Dhanasekaran",3,Applied Sciences,2026,0,journal-article,MDPI AG,modelado_hibrido_fisico_datos,physics informed machine learning power systems
10.1016/j.epsr.2026.113379,Inertia Assessment Method for New Power Systems Based on Physics-Informed Reinforcement Learning,"Zhao, Yijie; Shi, Linjun; Wu, Feng; Wu, Chenyu; Lin, Keman",5,Electric Power Systems Research,2026,0,journal-article,Elsevier BV,modelado_hibrido_fisico_datos,physics informed machine learning power systems
10.1016/j.renene.2012.12.036,"Energy dispatch schedule optimization and cost benefit analysis for grid-connected, photovoltaic-battery storage systems","Nottrott, A.; Kleissl, J.; Washom, B.",3,Renewable Energy,2013,292,journal-article,Elsevier BV,operacion_de_almacenamiento,grid scale battery storage dispatch optimisation
10.1016/s0960-1481(98)00796-4,Optimal sizing of battery storage for hybrid (wind+diesel) power systems,"Elhadidy, M.a; Shaahid, S.M",2,Renewable Energy,1999,125,journal-article,Elsevier BV,operacion_de_almacenamiento,energy storage sizing renewable integration
10.1016/j.est.2020.102158,"Optimal location, selection, and operation of battery energy storage systems and renewable distributed generation in medium–low voltage distribution networks","Valencia, Alejandro; Hincapie, Ricardo A.; Gallego, Ramón A.",3,Journal of Energy Storage,2021,115,journal-article,Elsevier BV,operacion_de_almacenamiento,battery energy storage operation renewable curtailment
10.1016/j.est.2022.105644,"Efficient operation of battery energy storage systems, electric-vehicle charging stations and renewable energy sources linked to distribution systems","Eid, Ahmad; Mohammed, Osama; El-Kishky, Hassan",3,Journal of Energy Storage,2022,110,journal-article,Elsevier BV,operacion_de_almacenamiento,battery energy storage operation renewable curtailment
10.1016/j.renene.2021.03.122,Impact of demand side management on optimal sizing of residential battery energy storage system,"Mulleriyawage, U.G.K.; Shen, W.X.",2,Renewable Energy,2021,82,journal-article,Elsevier BV,operacion_de_almacenamiento,energy storage sizing renewable integration
10.1016/j.energy.2019.04.108,Analysis of operation cost and wind curtailment using multi-objective unit commitment with battery energy storage,"Wang, Bo; Zhou, Min; Xin, Bo; Zhao, Xin; Watada, Junzo",5,Energy,2019,59,journal-article,Elsevier BV,operacion_de_almacenamiento,battery energy storage operation renewable curtailment
10.1016/j.est.2023.106950,Resilient operation of the renewable energy and battery energy storages based smart distribution grid considering physical-cyber-attacks,"Ghanbari-Ghalehjoughi, Mohsen; Taghizad-Tavana, Kamran; Nojavan, Sayyad",3,Journal of Energy Storage,2023,56,journal-article,Elsevier BV,operacion_de_almacenamiento,battery energy storage operation renewable curtailment
10.1109/tsg.2016.2606560,Probabilistic Dispatch of Remote Hybrid Microgrids Including Battery Storage and Load Management,"Battistelli, Claudia; Agalgaonkar, Yashodhan P.; Pal, Bikash C.",3,IEEE Transactions on Smart Grid,2017,54,journal-article,Institute of Electrical and Electronics Engineers (IEEE),operacion_de_almacenamiento,grid scale battery storage dispatch optimisation
