metodo,periodo,cobertura,se_cluster,ancho_medio,ancho_mediano,pct_infinito,IS_finitos,IS_total,n_dias,n,modelo,arboles,crps,nota
estatico,2025-S2,91.6,0.49,313.1,228.6,0.0,585.0,584.9662124812875,184,22941,qgbm_54x200,10800,71.79,
transporte_g05,2025-S2,91.4,0.59,327.7,242.6,10.2,660.0,inf,184,22941,qgbm_54x200,10800,71.79,
estatico,2026-S1,90.6,0.66,251.4,173.0,0.0,518.6,518.5990761002281,151,19146,qgbm_54x200,10800,60.71,
transporte_g05,2026-S1,90.9,0.75,263.8,178.3,0.0,531.3,531.2671056659295,151,19146,qgbm_54x200,10800,60.71,
estatico,TEST_COMPLETO,90.2,0.38,284.7,203.4,0.0,571.9,571.8986358293117,638,77868,qgbm_54x200,10800,67.84,
transporte_g05,TEST_COMPLETO,90.1,0.44,299.1,213.8,4.7,609.4,inf,638,77868,qgbm_54x200,10800,67.84,
estatico,test_pre,91.2,1.62,325.7,259.2,0.0,517.3,517.2570025961597,30,3390,qgbm_54x400,21600,71.85,
transporte_g05,test_pre,91.7,1.55,329.6,264.1,0.0,512.2,512.2428397029013,30,3390,qgbm_54x400,21600,71.85,
estatico,test_transition,90.6,0.85,410.3,316.7,0.0,765.0,765.0381838437063,92,10607,qgbm_54x400,21600,92.96,
transporte_g05,test_transition,90.5,0.99,425.0,332.3,0.0,779.1,779.0597277496984,92,10607,qgbm_54x400,21600,92.96,
estatico,2025-S1,88.0,0.99,221.4,158.7,0.0,529.8,529.8074998423575,181,21784,qgbm_54x400,21600,57.58,
transporte_g05,2025-S1,87.8,1.12,243.5,167.9,5.5,569.3,inf,181,21784,qgbm_54x400,21600,57.58,
estatico,2025-S2,91.7,0.46,319.2,235.9,0.0,586.1,586.1004664001795,184,22941,qgbm_54x400,21600,71.89,
transporte_g05,2025-S2,91.3,0.59,333.0,248.4,9.6,657.1,inf,184,22941,qgbm_54x400,21600,71.89,
estatico,2026-S1,90.6,0.67,252.8,179.2,0.0,527.2,527.2156184320309,151,19146,qgbm_54x400,21600,60.77,
transporte_g05,2026-S1,91.0,0.76,268.3,187.2,0.0,538.3,538.3301845982379,151,19146,qgbm_54x400,21600,60.77,
estatico,TEST_COMPLETO,90.2,0.38,288.2,209.1,0.0,577.3,577.2511026555615,638,77868,qgbm_54x400,21600,67.97,
transporte_g05,TEST_COMPLETO,90.2,0.44,304.6,221.7,4.4,613.0,inf,638,77868,qgbm_54x400,21600,67.97,
